Row,Flag,Question,Answer,Category,Reason
481,#redflag,8.1.1:Access to the KVNO systems is via a site-to-site VPN Realize the connection according to the IT requirements of the KVNO. Access to the CRM by KVNO employees and other systems (e.g. a CCaaS that,?,EMPTY,No answer content
482,#redflag,"8.1.5: Registration PortalThe data of interested parties, patient and health insurance representatives, lawyers and managing directors (e.g. of medical care centers) will be kept in the external regis",?,EMPTY,No answer content
483,#redflag,"8.1.7: Integration of external portals/applications via Deep LinkInterface picture: We don't support the ""Site-to-Site"" VPN to ""internal KVNO"" systems  maybe position Mulesoft or have a Security Archi",?,EMPTY,No answer content
484,#yellowflag,"8.3.3.1:Information security and GDPRCollection of customer consents (double OPT-IN procedure). Not our responsibility since we are sub-processor, maybe integrate privacy center or the prime has to ta",?,EMPTY,No answer content
485,#yellowflag,"8.3.3.1:Information security and GDPRThe system meets the requirements of the GDPR and enables the client to behave in accordance with the GDPR at all times. If there are legal changes, these will be ",,EMPTY,No answer content
486,#yellowflag,8.3.3.1: Information security and GDPRKV Nordrhein reserves the right to conduct a supplier audit with regard to information security ISO 27001. not sure if we allow this in full extend  question to l,?,EMPTY,No answer content
487,#yellowflag,"8.3.3.3.2: Additional RequirementsThe data of KV Nordrhein must be effectively sealed off from other clients and users in the contractor's data center. we have to make sure that they are allowing ""log",?,EMPTY,No answer content
488,#redflag,8.5.2: Service Level (Table with specific SLA's)  Salesforce does not typically offer Service Level Agreements as part of the base service offering. Our approach is to offer a service with high availa,?,EMPTY,No answer content
489,#yellowflag,"Chapter 7.3: legitimationUnclear requirement, it seems that they want Salesforce to keep customer passwords/PIN/Voice Biometrics and act as an Identity Provider (IdP) which is difficult from an archit",?,EMPTY,No answer content
541,#redflag,Downtime for routine maintenance must have prior written approval by both the Department and OIT ,?,EMPTY,No answer content
552,#yellowflag,"Software upgrades have no implications to the configuration of the installed solution, i.e. upgrades can be applied without needing to re-do any of the previous configuration. ",?,EMPTY,No answer content
564,#redflag,TR14 - - Ability to run on Microsoft-based servers / databases ,?,EMPTY,No answer content
566,#redflag,Pg. 126 - Liquidated Damages ,?,EMPTY,No answer content
579,#redflag,All screens must meet 508 Compliancy https://www.section508.gov/. ,?,EMPTY,No answer content
602,#yellowflag,"The Contractor will perform criminal background checks on all proposed staff members. Pursuant to those background checks, no staff member shall be staffed on this project if they have committed an of",,EMPTY,No answer content
606,#redflag,"Any contractor, application, or solution will adhere to the Information Technology Infrastructure Library (ITIL) V3.0 Change and Release Management processes. ",?,EMPTY,No answer content
607,#redflag,Contractor shall comply with the Department audit requirements as outlined in ?Arkansas Department of Human Services Audit Guidelines?. ,?,EMPTY,No answer content
609,#redflag,"The State of Arkansas and its authorized representatives shall, at all reasonable times, have the right to enter the Contractor's work areas to inspect, monitor, or otherwise evaluate the quality, app",?,EMPTY,No answer content
611,#yellowflag,"Section 7.0 SLAS - Additional SLAs (MTTR, Response TImes, RTOs, etc.) with penalties). ",?,EMPTY,No answer content
