Row,Flag,Question,Answer,Category,Reason
32,#redflag,16.4 The Application should provide ability for both environment and data level restoration capability.? Recovery Point Objective: Data loss resulting from accidental deletion or hardware failure shou,Our standard exception around RPO of 4 hours and RTO of 8 hours applies here,STALE,References RTO of 8 hours (now 12 hours per SPARC)
265,#redflag,SSC7 Transport Encryption#[,]? -The requirement is TLS 1.3 which is not supported at moment,STALE,Says TLS 1.3 not supported (TLS 1.3 available since 2025)
270,#redflag,4.58 - Cybersecurity RequirementsTLS 1.3 Encryption during transit," - We do not support TLS 1.3 at the moment, we can provide our standard response around 1.2 and the security configuration ",STALE,Says TLS 1.3 not supported (TLS 1.3 available since 2025)
501,#redflag,"Page 27: B1.2.1.1: ""The procedure supports encrypted communication according to the current state of the art (TSL 1.3 or more recent) or certificates.""  possible "," we don't support TLS 1.3 , only TLS 1.2 with Forward Secrecy (FS) This has to be evaluated with the customer, the BSI is recommending TLS 1.3 OR TLS 1.2 with FS.",STALE,Says TLS 1.3 not supported (TLS 1.3 available since 2025)
582,#redflag,Failover (Recovery Time Objective (RTO) of 8 hours). The Recovery Point Objective (RPO) is also 8 hours. Disaster Recovery must be demonstrated as part of User Acceptance and for approval by DWS. ,?8 Hour RTO,STALE,References RTO of 8 hours (now 12 hours per SPARC)
747,#redflag,Describe how the portal uses the TLS 1.3 security protocol. ,?We currently do not have services that support TLS 1.3. This is also not a protocol required by FedRAMP at this time to meet FedRAMP HIGH requirements. ,STALE,Says TLS 1.3 not supported (TLS 1.3 available since 2025)
819,#redflag,"Contractor's proposed system shall have standard recovery processes in place to define how data and system security will be protected from disruption and loss in event of natural disaster, emergency, ",?24 Hour Breach Notification &amp; 8 Hour RTO,STALE,References RTO of 8 hours (now 12 hours per SPARC)
864,#redflag,PM.10-20 - All core services that are required to be maintained with limited service disruption (Priority 2 as described in an approved Business Continuity and Disaster Recovery Plan) are recovered wi,?8 Hour RTO in some places. ,STALE,References RTO of 8 hours (now 12 hours per SPARC)
1579,#redflag,"The Solution shall support FIPS 140-2 compliant encryption and integrity of sensitive data transmitted using Secure Socket Layer (SSL) Certificates, Transport Layer Security (TLS 1.3), or by other mea",?We do not support TLS 1.3 at this time. We support TLS 1.2. ,STALE,Says TLS 1.3 not supported (TLS 1.3 available since 2025)
1685,#redflag,"UMGT 110 - RTO (Recovery Time Object) - when a disaster happens, the system must be restored to operation within 8 hours. ",?8 Hour RTO,STALE,References RTO of 8 hours (now 12 hours per SPARC)
1712,#redflag,"Throughout the Term and at all times in connection with its actual or required performance of the Services, Contractor will maintain and operate a backup and disaster recovery plan to achieve a Recove",?8 Hour RTO and potentially &lt;4 Hour RPO. ,STALE,References RTO of 8 hours (now 12 hours per SPARC)
2014,#redflag,"T&amp;A - 140 -Ability for CMS to encrypt data in transit and data at rest at least at TLS 1.3 and based on rules such as document types, sensitive data, etc. ","?We are currently not supporting TLS 1.3, nor are we required to meet TLS 1.3 to meet FedRAMP HIGH. ",STALE,Says TLS 1.3 not supported (TLS 1.3 available since 2025)
2211,#redflag,HTTPS using TLS 1.3 must be utilized for communications between systems. ,?We currently do not support TLS 1.3. ,STALE,Says TLS 1.3 not supported (TLS 1.3 available since 2025)
2213,#redflag,"Ability for UCMS to encrypt data in transit and data at rest at least at TLS 1.3 and based on rules such as document types, sensitive data, etc. ","?TLS 1.3 is currently on the roadmap, no ETA. ",STALE,Says TLS 1.3 not supported (TLS 1.3 available since 2025)
2723,#redflag,?8 hours with ?1 hour of data loss ,?8 Hour RTO / 1 Hour RPO,STALE,References RTO of 8 hours (now 12 hours per SPARC)
