Row,Flag,Question,Answer,Category,Reason
2,#redflag," Accessibility of Documents3.10.1 Website accessibility encompasses all disabilities that affect access to the web, including visual, auditory, physical, speech, cognitive and neurological disabilitie", Our standard exception around accessibility applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
16,#redflag,8. Security Testing8.13 to 8.15 - Ad-hoc Security Review / Audit, - our standard exception around right to audit applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
20,#redflag,#37 System Availability, our standard exception around system availabilityapplies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
24,#redflag,NFR 1.1 - AccessibilityThe Solution must be capable of meeting the digital service standard accessibility guidelines: https://www.dta.gov.au/standard/9-make-it-accessible/., - Our standard exception around accessibility applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
25,#redflag,NFR 1.2 - Website ConformanceThe Solution must conform to WCAG 2.1 Level AA., - Our standard exception around accessibility applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
26,#redflag,NFR 2.1 - System PerformanceThe Solution must be capable of a response time that will be less than 1 second in order to provide continuity of performance., - Our standard exception around system performance applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
27,#redflag,#requirement 23 Contractor personnel must be able to complete the ATO Pre-engagement Integrity Check (PEIC) which includes a police records check component., - Our standard exception around personnel security applies here.,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
33,#redflag,16 - Security Other requirements16.1 Respondent must describe how the Application will meet ACT Government availability requirements.?Uptime Guarantee: System uptime as an ACT Government Business Crit,Our standard exception availability applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
34,#redflag,7. Key Performance Indicators and Performance Management#1 application uptime,Our standard exception around availability applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
35,#redflag,"2.2. Standards2.2.1 Tenderers should note that they may be required to enable the AGENCY, or an independent assessor, to conduct periodic audits to confirm compliance with all applicable Australian or",?- our standard exception around right to audit applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
36,#redflag,"2.3. Web Content Accessibility2.3.1. The Supplier will ensure that any website, associated material and/or online publications (where applicable) complies with the Web Content AccessibilityGuidelines ",Our standard exception around accessibility applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
37,#redflag,2.6.3. The successful Tenderer is responsible for any costs that it may incur in complying with the requirements outlined in paragraph 2.2.,our standard exception around right to audit applies here. This needs to be discussed as part of contract negotiations.,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
38,#redflag,2.6.5. The AGENCY may undertake security and data checks/audits of the successful Tenderers for their compliance with paragraph 2.,our standard exception around right to audit applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
39,#redflag,2.6.6. The successful Tenderer is responsible for any costs that it may incur in complying with the requirements outlined in paragraphs 2.,our standard exception around right to audit applies here. This needs to be discussed as part of contract negotiations.,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
40,#redflag,2.6. Security Requirements2.6.2. The AGENCY may undertake security and data checks/audits of the successful Tenderers for their compliance with clause 2.2.,our standard exception around right to audit applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
43,#redflag,Non functional requirements13.1 - Must haveAll CRM interfaces must be compliant with Web Content Accessibility Guidelines (WCAG). WCAG 2.1-AA, Our standard exception around accessibility applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
46,#redflag,NFR017 - High Availability (HA)Provide 99.9% uptime after exclusion of scheduled maintenance and hardware failure.,Standard exception around availability applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
47,#redflag,Start of my reviewFR040 Customer Portal - UI/DesignThe portal UI design will adhere to accessibility guidelines and comply with a AA WCAG standard., - Standard exception around accessibility applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
48,#redflag,"R02 ? Website Content Management System (CMS)CMS and its development must meet accessibility requirements. Refer to ?R03 ? Website Design? requirement below,", - Our standard exception around accessibility applies here,NEEDS_REVIEW,"Generic ""standard exception"" without specific answer"
