Row,Flag,Question,Answer,Category,Reason
3,#redflag,Business Continuity and Disaster Recovery Plans3.13.1 - The Contractor must develop and deliver to the Department for its approval a business continuity and disaster recovery plan as part of the Proce,"? We do not seek agency approval with our BCP/DR plan, partner to work with agency on an agency level BCP/DR plan. We will provide our standard exception on our RTO and RPO for this section",ACCURATE,Aligns with CMDT and Spring '26 docs
4,#redflag,"3.2 Accreditation3.2.1 The Contractor is required to maintain accreditation (or similar) for the term of the contract, such as:a. ISO 9001:20158 <a href=""https://www.iso.org/standard/62085.html"" alt=""","?  Except for IS27001, we don?t hold any other certifications that has been listed in the requirement. We can provide a standard response for ISO9001, but not sure where this CCCA came up from, may me more to do with contact management solution, but still we should be able to respond to that as well",ACCURATE,Aligns with CMDT and Spring '26 docs
5,#redflag,"3.3 Contact Handling Standards3.3.1 - The Contractor is required to ensure that all Contact handling complies with call handling standards published by:Auscontact Association<a href=""https://www.ausco","As a provider we are not accredited to this standard, possibly our partners may be due to nature of their business in supporting contact centre",ACCURATE,Aligns with CMDT and Spring '26 docs
6,#redflag,3.5 Security Standards3.5.1 - The Contractor must develop and deliver to the Department for its approval a security plan as part of the Procedures Manual.,"We do not develop System Security Plan for agencies, we provide them with our public facing Security documentation which can be leverage to develop their own SSP. Our IRAP assessment SSP also forms and important part of this documentation set that can be leverage by the agency. Alternatively contrac",ACCURATE,Aligns with CMDT and Spring '26 docs
7,#redflag,"3.8 - Information Security3.8.2 - The Contractor must allow the Department or its agent to audit the processes and systems in use to ensure compliance with sections 2.8.1, 2.2.1 and 2.5.2.",Our Standard exception around right to audit applies here3.8.3 - If a discrepancy or non-conformance is found following any audit the Contractor will reimburse the Department for all costs associated with the audit.,ACCURATE,Aligns with CMDT and Spring '26 docs
8,#redflag,1.1.2 - The Supplier shall ensure that the System is developed and implemented in accordance to Government Instruction Manuals and MOE ICT Security Policy and Standards., - See my response to 1.1.1,ACCURATE,Aligns with CMDT and Spring '26 docs
9,#redflag,1.1.6 - The Supplier shall fully comply with any written instructions on ICT security related matters that are issued by the Government and Authority from time to time, - See my response to 1.1.1,ACCURATE,Aligns with CMDT and Spring '26 docs
10,#redflag,"1. General Security Requirements1.1.1 - The Supplier shall ensure that all security requirements under this section, regardless of the sub-section it is located, are applied to the entire scope of thi"," - We will never agree to this clause, our systems arenot built to meet a particular agency security policy requirements. As a trusted cloud provider we will protect information submitted to our services at the highest level by implementing security controls and providing assurance by undertaking se",ACCURATE,Aligns with CMDT and Spring '26 docs
11,#redflag,"20. Change Management and Patch Management20.10 The Supplier shall ensure security and relevant patches, when released officially by the vendors or when notified by the Government, are applied to the ", - we have our own process to patch security vulnerabilities and this is well aligned to global security standards and have been assessed to ensure it Is effective and working.,ACCURATE,Aligns with CMDT and Spring '26 docs
12,#redflag,"21.13 - The Contractor shall note that during the period of Heightened Security, the Contractor shall apply the security patches promptly and report the statuses to the Authority within the timeframe ", - we have our own process to patch security vulnerabilities and this is well aligned to global security standards,ACCURATE,Aligns with CMDT and Spring '26 docs
13,#redflag,21. Vulnerability Management21.12 The Contractor shall mitigate and remediate all vulnerabilities discovered through the Vulnerability Disclosure Programme (VDP) within the timeframe below:, - we have our own process to patch security vulnerabilities and this is well aligned to global security standards,ACCURATE,Aligns with CMDT and Spring '26 docs
15,#redflag,7 Security Monitoring7.8 - 7.8 The Supplier shall make available all required logs for security monitoring. Examples of sources of such logs are, - we do not provide infrastructure logs to agencies only application level logs,ACCURATE,Aligns with CMDT and Spring '26 docs
17,#redflag,9. ICT and Data Security Incident Management9.8 The Supplier shall notify Authority and Authority designated representative within the specified time upon detection of incident. The Supplier shall adh, - We do not provide timeframe but we notify agency as soon as we detect incident,ACCURATE,Aligns with CMDT and Spring '26 docs
18,#yellowflag,#28 System Performance RequirementsThe Contractor shall meet the following online response time requirements for the System:,Our standard assumption around performance applies here,ACCURATE,Aligns with CMDT and Spring '26 docs
19,#redflag,#36 Service Levels#[,]? our standard responsearound SLA applies here. There are some timelines called-out within this section which we cannot commit as our standard policy,ACCURATE,Aligns with CMDT and Spring '26 docs
21,#redflag,#38 System Operating and Support HoursThe Contractor shall provide statistical report on the System Availability inside the monthly progress report., - We do not provide such monthly reports. This information is made available on our status portal and customer can pull this information In their monitoring tools through api.,ACCURATE,Aligns with CMDT and Spring '26 docs
22,#yellowflag,#44 Hosting and Environment ManagementThe Contractor shall propose and implement backup and recovery plans. The plans shall specify the following information:, - Partner to work with agency on this requirement at ORG level,ACCURATE,Aligns with CMDT and Spring '26 docs
28,#redflag,"#Requirement 6 - That ICT services supporting operations to be on shore, not be delivered from overseas. This includes the management of systems from overseas, and support staff. If there are off-shor",Our services are offered from onshore but management and support is from outside the country. We will be able to provide a standard response here,ACCURATE,Aligns with CMDT and Spring '26 docs
29,#redflag,#requirement 9 - Require the solution to meet minimum ATO security classification requirements for PROTECTED.," - Except for the IRAP report we do not provide any other documentation as listed In this requirements. We will be able to respond on how we will be able to meet customers requirements around his assessment, certification and accreditation?s. ",ACCURATE,Aligns with CMDT and Spring '26 docs
30,#redflag,"13 Security Architecture13.2 The Application must provide method for separation of ACT Government data from other tenants, including network, database, and other measures, to ensure compromise of anot", - Our standard response on multi-tenant applies here,ACCURATE,Aligns with CMDT and Spring '26 docs
31,#redflag,14 - Security Hosting14.2 - The Application must be managed and accessed only by personnel in Australia. This must include any subcontractors of the respondent. All exceptions to this must be document,"Our standard response on personnel/support applies here. We do not access agencies application unless authorised by the agency themselves, but our support team is 24 x7 across the globe",ACCURATE,Aligns with CMDT and Spring '26 docs
41,#yellowflag,12.Security RequirementsRequired to access secure facilities#GreenflagOur services are offered from public cloud and we do not have access to the DCs from where these services are provided and same ap,This will be our partners and not us. We will be able to provide a standard response,ACCURATE,Aligns with CMDT and Spring '26 docs
42,#yellowflag,16.2 - Must haveEnquiry and report response times will vary depending upon the quantity of data and calculation to be carried.In general reports should respond in less than 10 seconds.,- Our standard assumption around performance applies hereEnd of review for this document,ACCURATE,Aligns with CMDT and Spring '26 docs
44,#yellowflag,Performance16.1 - Must haveScreen response times should be less than or equal to 3 seconds.,- Our standard assumption around performance applies here,ACCURATE,Aligns with CMDT and Spring '26 docs
45,#redflag,Support14.1 - Must haveAccess to an Australian time-zone based technical support helpdesk with defined service level agreements., - Our support is global and not necessarily Australian based.,ACCURATE,Aligns with CMDT and Spring '26 docs
50,#redflag,NF001 Technical / InfrastructureTIME BEHAVIOUR: Its response and processing times should meet industry best practice for interactive User Interface: (a) 0.1 second limit for direct manipulation of obj, - Standard assumption around performance applies here,ACCURATE,Aligns with CMDT and Spring '26 docs
52,#yellowflag,"Monitoring, Logs &amp; AlertsNFR22- On request, the Vendor agrees to undergo a Network Penetration Test (as per Industry Standards) by an independent third party prior to migrating data and/or signing",?- We have our own policy and process when it comes to network pentesting. Agencies can conduct their own pentest at ORG/tenant level and work with the partner to mitigate any risks that has been identified as part of the assessment.,ACCURATE,Aligns with CMDT and Spring '26 docs
57,#yellowflag,"NFR-019 Availability, Scalability &amp; FlexibilityThe solution shall have connection response times: Connection response time: in the range [ 5 seconds to 10 seconds] Request response time: [? 5 seco", - Our standard assumption around performance applies here,ACCURATE,Aligns with CMDT and Spring '26 docs
61,#redflag,NFR6 System Support2. Supplier is required to ensure following response times to resolve the incidents either via phone or email. 1. Level A ? Response within 15 Minutes 2. Level B ? Response within 1, - We do not provide timeline for security incidents. Please provide our standard response on Support and Incident management.,ACCURATE,Aligns with CMDT and Spring '26 docs
65,#yellowflag,"#[14]? Is our data backed up? If so, where to and how long is the retention period?","We do not backup customer data as such. The backup of the platform is to maintain our objectives around availability. Customer to devise their own backup, restores and retention strategy.",ACCURATE,Aligns with CMDT and Spring '26 docs
67,#yellowflag,#[26]? Do you have procedures in place for securely purging data in the event we are no longer a customer?Can you purge records on our instruction and provide assurance that you have done so (e.g. cer,This needs to be requestedor negotiated as part of the contract.,ACCURATE,Aligns with CMDT and Spring '26 docs
75,#redflag,"5.4Non-Functional / Technical Requirements - Capacity and performance5.4.3 - Highly desirableThe Solution Should meet the following application response times, measured using a Department computer run", - Our standard assumption around performance applies here,ACCURATE,Aligns with CMDT and Spring '26 docs
82,#redflag,PLT.N022 SecurityThe Supplier SHOULD advise the Customer of system compromise for in scope services within 2 days of identification.,? our standard response on incident notification applies here,ACCURATE,Aligns with CMDT and Spring '26 docs
83,#redflag,PLT.N023 SecurityThe Supplier SHOULD advise the Customer of critical (Common Vulnerability Scoring System (CVSS) 3.0 rating) system vulnerabilities within 2 business days.,our standard response on vulnerability management applies here. All reporting is done through our trust portal and as per our policy and process,ACCURATE,Aligns with CMDT and Spring '26 docs
84,#yellowflag,"10 - OH&amp;S10.11 Compliance / Auditing / Methodology10.11.1 - Comply with all Australian and International standards including, but not limited to AS4801; ISO45001; ISO9001; ISO14001.","?- Not certified but compliant, some of these is through our IaaS provider",ACCURATE,Aligns with CMDT and Spring '26 docs
89,#redflag,13.3.2.4 - The vendor should have the capacity and capability to provide 2 hours response time and 3 business days resolution time for severity 3 incident.,Security incident response is undertaken as per our Security Incident Response plan and we do not commit to timeline.,ACCURATE,Aligns with CMDT and Spring '26 docs
90,#redflag,13.3.2.5 -The vendor should have the capacity and capability to provide 2 hours response time and 5 business days resolution time for severity 4 incident.,?- Security incident response undertaken as per our Security Incident Response plan and we do not commit to timeline.,ACCURATE,Aligns with CMDT and Spring '26 docs
