Row,Flag,Question,Answer,Category,Reason
14,#redflag,26 Firewall26.3 The Contractor shall propose a Web Application Firewall (WAF). The WAF has the following capabilities and features:, - We do not use WAF but we have alternative controls in place too mitigate risk against web application threats,WRONG,Says WAF not used (Cloudflare WAF is deployed)
23,#redflag,"#45 Network Security Managementb) Host-based firewalls to protect endpoint devices against unauthorised network connections, where possible;c) Application firewalls to filter unauthorised application ","? we do not use host-based or application firewall, but alternative controls in place",WRONG,Says WAF not used (Cloudflare WAF is deployed)
185,#yellowflag,9.0 STANDARDS AND COMPLIANCENFR-080ShouldThe Solution should be compliant with the ISO 14001 Environmental Quality Management, - This will apply to our public cloud provider in context of our services. we can provide a standard response on this,WRONG,"Hard_No keyword ""ISO 14001"" answered affirmatively"
187,#yellowflag,NFR-081 - ShouldThe Solution should be compliant with the ISO 45001 Occupational Health and Safety," - This will apply to our public cloud provider in context of our services, we can provide a standard response on this",WRONG,"Hard_No keyword ""ISO 45001"" answered affirmatively"
237,#redflag,5.2 WAF + IRAP + Essential 8,?- We are not IRAP assessed and we do not have WAFNote -: The requirement is asking for alternative controls is the above is not in place,WRONG,Says WAF not used (Cloudflare WAF is deployed)
458,#redflag,"Page 7: ""6.Data hosting and processing in a localized and secure cloud in Switzerland;""  ", We don't have (yet) Hyperforce in Switzerland - planned for End of 2023,WRONG,Says Hyperforce not available in Switzerland (CH) — it IS available
569,#redflag,"The contractor shall support encryption at the storage level, to include architecture, engineering, and support for the system. ","?We do not provide disk level encryption, but we do encrypt in the database in the event a disk is lost or compromised. GovCloud Plus can volume level encryption. ",WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
570,#redflag,The system must encrypt all internal and external data connections during transmission and storage ,?We cannot encrypt ALL data at rest. ,WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
596,#redflag,"Any contractor, application, or solution shall encrypt all data at rest including backups using DHS and regulatory bodies (CMS, FNS, etc.) standards regardless of storage media. ",?We cannot encrypt ALL data. ,WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
605,#redflag,"Any contractor, application, or solution shall encrypt all data at rest including backups using DHS and regulatory bodies (CMS, FNS, etc.) standards regardless of storage media. ","?We cannot encrypt ALL data in the database. GovCloud Plus does offer wholistic encryption at the volume layer, but not in the database. ",WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
661,#redflag,Pg 151 - All DMV information at rest and in transit must be encrypted in accordance with the security and privacy provisions specified within this Agreement. ,?We cannot encrypt ALL data. ,WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
718,#redflag,The Contractor shall encrypt all Data at rest and in transit. ,?We currently do not encrypt all data at rest and in transit. ,WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
866,#redflag,Customers can dictate data locale residency ,?Customers cannot dictate which datacenter they operate out of. ,WRONG,Says cannot dictate data location (18 Hyperforce regions available)
892,#redflag,"The Licensor shall encrypt all Commonwealth data in transit and at rest.The Licensor shall comply with ITP-SEC031, and ITP-SEC019, encryption policies and minimum standards or stronger. ","?We cannot encrypt ALL data at the database level. If the customer wants a comprehensive encryption capability, GC+ does have volume level encryption for all drive contents, but that will not encrypt all data at the database level. ",WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
961,#redflag,"Appendix V - Data SecurityBased on the proposed solution?s content, various or all data elements whether in transit or at rest must be secured and or encrypted depending on applicable laws, mandates, ",?We cannot encrypt ALL data at the database level. GovCloud Plus does implement volume level encryption. Would also recommend Platform Encryption here. ,WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
1175,#redflag,"All data must always be fully encrypted, including at rest and in-transit. The ASP must provide documentation fully detailing the encryption method(s) used in the response.",?We cannot encrypt all data and do not provide end-to-end encryption. ,WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
1348,#redflag,The contractor shall encrypt all Data at rest and in transit. ,?We cannot encrypt ALL data. ,WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
1496,#redflag,"? Ensure the security, confidentiality, integrity, and encryption of all data for which the Bidder is responsible; ",?We cannot encrypt ALL data at rest. ,WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
1539,#redflag,All data must be encrypted in transit and at rest ,?We cannot encrypt ALL data. ,WRONG,Says disk/all-data encryption not provided (Shield + AWS disk encryption available)
