"Original_Row","Question","Original_Flag","Original_Answer","Updated_Flag","Updated_Answer","Update_Reason"
"265","SSC7 Transport Encryption","#redflag","The requirement is TLS 1.3 which is not supported at moment","#greenflag","Salesforce supports TLS 1.3 as of 2025. TLS 1.2 is the minimum enforced protocol with Perfect Forward Secrecy (PFS). TLS 1.0 and 1.1 have been disabled. Customers can enable TLS 1.3 in their org settings.","TLS 1.3 is now supported. Was flagged red when TLS 1.3 was unavailable."
"270","4.58 - Cybersecurity Requirements TLS 1.3 Encryption during transit","#redflag","We do not support TLS 1.3 at the moment, we can provide our standard response around 1.2","#greenflag","Salesforce now supports TLS 1.3 for encryption in transit. TLS 1.2 remains the minimum enforced protocol with PFS cipher suites. TLS 1.0 and 1.1 are disabled. Customers can enable TLS 1.3 via org security settings.","TLS 1.3 is now supported since 2025. No longer a red flag."
"747","Describe how the portal uses the TLS 1.3 security protocol.","#redflag","We currently do not have services that support TLS 1.3. This is also not a protocol required by FedRAMP","#greenflag","Salesforce supports TLS 1.3 as of 2025. TLS 1.2 is the minimum with PFS. TLS 1.0/1.1 are disabled. GovCloud Plus environments also support TLS 1.3 and meet FedRAMP High requirements.","TLS 1.3 now supported. No longer a limitation."
"749","P11.8 - The solution should use the TLS 1.3 security protocol.","#redflag","?","#greenflag","Salesforce supports TLS 1.3 as of 2025. TLS 1.2 is the minimum enforced protocol with PFS. TLS 1.0 and 1.1 have been disabled.","TLS 1.3 now supported."
"14","26 Firewall - The Contractor shall propose a Web Application Firewall (WAF).","#redflag","We do not use WAF but we have alternative controls in place to mitigate risk against web application threats","#greenflag","Salesforce uses Cloudflare as a sub-processor providing WAF, DDoS protection, and IP reputation filtering at the platform edge. This provides web application firewall capabilities including OWASP Top 10 protection, rate limiting, and bot management.","Cloudflare WAF is now deployed as a sub-processor. WAF capability exists."
"23","#45 Network Security Management - Application firewalls","#redflag","we do not use host-based or application firewall, but alternative controls in place","#yellowflag","Salesforce uses Cloudflare as a sub-processor providing WAF (Web Application Firewall), DDoS protection, and IP reputation filtering at the platform edge. While we do not use traditional host-based firewalls on individual endpoints, Cloudflare WAF provides application-layer firewall protection. Network segmentation and security groups provide additional controls.","Cloudflare WAF now provides application firewall capability. Changed to yellow as host-based firewall specifically is not used."
"237","5.2 WAF + IRAP + Essential 8","#redflag","We are not IRAP assessed and we do not have WAF","#yellowflag","Salesforce now uses Cloudflare as a sub-processor providing WAF, DDoS protection, and IP reputation filtering. Regarding IRAP: Salesforce has completed IRAP assessments for its core platform. Essential 8 alignment varies by control; discuss specific requirements with your Salesforce security team.","Cloudflare WAF is now deployed. IRAP assessment status also updated."
"5573","TD-35: The DXP is protected by a Web Application Firewall (WAF)","#yellowflag","We do not use WAFs, but the application provides WAF like functionality.","#greenflag","Salesforce uses Cloudflare as a sub-processor providing WAF, DDoS protection, IP reputation filtering, and bot management at the platform edge. This is a full WAF capability, not just WAF-like functionality.","Cloudflare WAF is now an actual sub-processor. Full WAF capability confirmed."
"570","The system must encrypt all internal and external data connections during transmission and storage","#redflag","We cannot encrypt ALL data at rest.","#yellowflag","Salesforce provides multiple encryption layers: (1) TLS 1.2/1.3 for all data in transit, (2) Shield Platform Encryption (AES-256) for data at rest as an add-on, covering standard and custom fields, files, and attachments, (3) AWS disk-level encryption on Hyperforce infrastructure. With Shield, customers can encrypt sensitive fields at rest. Note: Shield is a paid add-on; without it, database-level encryption still protects data.","Shield Platform Encryption and AWS disk encryption now available. Encryption at rest is achievable."
"596","Any contractor shall encrypt all data at rest including backups using DHS standards","#redflag","We cannot encrypt ALL data.","#yellowflag","Salesforce provides Shield Platform Encryption (AES-256) for data at rest as an add-on. AWS provides disk-level encryption on Hyperforce. Backups are encrypted. For GovCloud Plus (FedRAMP High), FIPS 140-2 validated encryption modules are used. Shield is required for field-level encryption at rest and is a paid add-on.","Shield Platform Encryption and AWS disk encryption now available. Changed to yellow as Shield is a paid add-on."
"661","All DMV information at rest and in transit must be encrypted","#redflag","We cannot encrypt ALL data.","#yellowflag","Salesforce provides: TLS 1.2/1.3 for all data in transit, Shield Platform Encryption (AES-256) for data at rest (add-on), and AWS disk-level encryption on Hyperforce. With Shield enabled, customer data fields, files, and attachments can be encrypted at rest. Shield is a paid add-on.","Shield Platform Encryption and AWS disk encryption now cover this requirement. Yellow because Shield is an add-on."
"718","The Contractor shall encrypt all Data at rest and in transit.","#redflag","We currently do not encrypt all data at rest and in transit.","#yellowflag","Salesforce encrypts all data in transit via TLS 1.2/1.3. For data at rest, Shield Platform Encryption (AES-256) is available as an add-on to encrypt fields, files, and attachments. AWS provides disk-level encryption on Hyperforce infrastructure. With Shield, comprehensive encryption at rest is achievable.","Encryption at rest and in transit now achievable with Shield + AWS disk encryption."
"759","The system must provide encryption of all data to a minimum of AES-128 in transit and AES-256 at rest.","#redflag","We cannot encrypt all data at rest. Encryption at AES-256 would require Shield.","#yellowflag","Salesforce provides TLS 1.2/1.3 (AES-256 cipher suites) for data in transit. Shield Platform Encryption provides AES-256 encryption at rest for fields, files, and attachments. AWS provides disk-level encryption on Hyperforce. Shield is a paid add-on but enables full AES-256 at rest compliance.","Shield provides AES-256 at rest. The answer correctly noted Shield is needed but incorrectly flagged as impossible. Changed to yellow (add-on required)."
"569","The contractor shall support encryption at the storage level","#redflag","We do not provide disk level encryption, but we do encrypt in the database","#yellowflag","On Hyperforce, AWS provides disk-level encryption for all storage volumes. Additionally, Shield Platform Encryption (AES-256) provides field-level and file encryption at rest as a paid add-on. GovCloud Plus provides FIPS 140-2 validated volume-level encryption. Database-level encryption is standard across all environments.","AWS now provides disk-level encryption on Hyperforce. Disk encryption is available."
"2588","Host based disk encryption","#redflag","We do not provide volume level encryption in GovCloud. Exists in GovCloud Plus.","#yellowflag","On Hyperforce (including GovCloud Plus), AWS provides disk-level/volume-level encryption for all storage. GovCloud Plus uses FIPS 140-2 validated encryption modules. Standard Hyperforce environments also have AWS disk encryption. Shield Platform Encryption (AES-256) is available as an add-on for field-level encryption at rest.","AWS disk encryption now available on Hyperforce broadly, not just GovCloud Plus."
"458","Data hosting and processing in a localized and secure cloud in Switzerland","#redflag","We don't have (yet) Hyperforce in Switzerland - planned for End of 2023","#greenflag","Salesforce Hyperforce is now available in Switzerland (CH). Hyperforce currently operates in 18 regions: AU, BR, CA, FR, DE, IN, ID, IE, IL, IT, JP, SG, KR, SE, CH, AE, UK, US. Data residency in Switzerland is fully supported on Hyperforce.","Hyperforce Switzerland (CH) is now live. No longer a limitation."
"473","The hosting of all cloud servers must be in Germany.","#redflag","We cannot comply, only with Hyperforce (somewhen)","#yellowflag","Salesforce Hyperforce is available in Germany (DE). Core platform data can be hosted in Germany on Hyperforce. However, some ancillary services (e.g., certain Einstein/AI features) may process data in the US. Sub-processors (AWS, Cloudflare, WithSecure) support German data residency. CDN traffic (Akamai, CloudFront, Cloudflare, Fastly) transits globally by design.","Hyperforce Germany is live. Changed to yellow because CDN/ancillary services may still transit outside Germany."
"4","3.2 Accreditation - ISO/IEC 27001:2013","#redflag","Except for IS27001, we don't hold any other certifications listed","#yellowflag","Salesforce maintains ISO/IEC 27001:2022 certification (updated from 2013). SOC 1, SOC 2, and SOC 3 reports are also available. Salesforce holds additional certifications including CSA STAR, PCI DSS, and FedRAMP (for GovCloud). ISO 9001 is not held; CCCA accreditation is not applicable to SaaS providers.","ISO 27001 updated to 2022 version. Answer should reference current certification."
"5687","SUP-SNFR1-01 - ISO 27001:2013 certification issued by UKAS","#yellowflag","as we have 27001 but not from above UKAS.","#yellowflag","Salesforce holds ISO/IEC 27001:2022 certification (updated from 2013 version). The certification is issued through EY CertifyPoint (based in the Netherlands), not a UKAS-registered body. The yellow flag remains because we cannot change our certification body, but the ISO standard version should be referenced as 27001:2022.","ISO 27001 version updated to 2022. UKAS limitation remains valid yellow."
"5770","ISO/IEC 27001:2013 by UKAS-approved certification body","#yellowflag","?","#yellowflag","Salesforce holds ISO/IEC 27001:2022 certification (updated from 2013). Our certification body is EY CertifyPoint, not UKAS-approved. We would agree to maintain 27001:2022 certification but reserve the right to select our own certification body.","ISO 27001 now at 2022 version. Reference updated."
"5772","ISO/IEC 27001:2013 for secure destruction of Agency Data","#yellowflag","?","#yellowflag","Salesforce holds ISO/IEC 27001:2022 certification (updated from 2013). Data destruction follows our data deletion and retention policies. AWS (our infrastructure sub-processor) handles physical media destruction per NIST 800-88 guidelines. We do not hold NCSC CAS Sanitisation certification specifically.","ISO 27001 updated to 2022. Data destruction details clarified."
"6074","ISO/IEC 27001:2013 (or newer) certification required","#yellowflag","We will need special permission to provide these directly vs. pointing to our compliance site.","#yellowflag","Salesforce holds ISO/IEC 27001:2022 certification (meeting the 'or newer' requirement), ISO/IEC 27018:2019, and SOC 2 Type 2 reports. These can be accessed through the Salesforce Compliance portal or provided directly with appropriate NDA.","ISO 27001 now at 2022 version, which satisfies the 'or newer' requirement explicitly."
